"key","doc_count","corporal","death","imprison","miscPunish","noPunish","transport"
"1827","2025","136","219","787","61","41","826"
"1828","1943","129","187","736","53","40","832"
"1829","1848","136","134","568","49","43","947"
"1830","1806","84","123","509","60","64","994"
"1831","1992","80","163","780","53","77","844"
"1832","2263","76","124","790","68","88","1112"
"1833","1330","24","108","403","11","30","684"
"1834","1604","18","43","706","1","43","784"
"1835","1966","30","74","971","22","34","815"
"1836","2246","37","73","1135","10","33","933"
"1837","2366","40","52","1299","7","31","884"
"1838","2597","30","5","1562","5","33","896"
"1839","2669","49","15","1653","25","45","859"
"1840","2603","32","4","1586","13","39","911"
"1841","2681","42","5","1797","17","59","736"
"1842","2928","48","8","2064","13","64","700"
"1843","2914","66","11","2072","19","40","698"
"1844","2350","19","7","1709","11","43","514"
"1845","2006","14","7","1443","12","47","452"
"1846","2084","26","5","1534","18","52","434"
"1847","2509","49","7","1839","44","68","507"
"1848","2457","53","9","1756","51","41","593"
"1849","1977","37","10","1428","24","39","431"
"1850","1903","37","3","1372","25","38","418"
"1851","1703","32","4","1268","11","43","333"
"1852","1077","7","3","832","9","34","178"
"1853","1055","0","7","814","3","44","169"
"1854","1233","1","1","1111","21","50","25"
"1855","953","0","7","831","6","49","32"
"1856","1112","0","10","974","16","38","44"
"1857","1126","0","5","1035","12","31","25"
"1858","1037","0","5","983","7","22","1"
"1859","915","0","9","854","11","21","0"
"1860","888","0","8","809","13","28","0"
"1861","939","0","7","862","12","26","0"
"1862","1174","0","5","1077","23","34","0"
"1863","1126","2","2","1034","26","33","0"
"1864","966","1","11","879","26","42","0"
"1865","1006","2","3","907","14","43","0"
"1866","913","13","1","821","31","37","0"
"1867","967","14","3","863","28","41","0"
"1868","988","20","3","908","10","36","0"
"1869","981","28","3","902","32","28","0"
"1870","797","13","3","732","13","22","0"
"1871","730","8","2","669","17","32","0"
"1872","680","16","5","610","12","31","0"
"1873","600","8","0","524","15","45","0"
"1874","665","6","6","564","28","34","0"
"1875","656","5","6","572","11","43","0"
"1876","776","3","9","672","15","60","0"
"1877","765","4","7","682","21","36","0"
"1878","841","6","1","747","22","41","0"
"1879","884","7","7","781","30","33","0"
"1880","789","5","7","712","19","37","0"
"1881","815","5","2","709","24","48","0"
"1882","998","9","4","889","33","38","0"
"1883","960","18","5","824","28","43","0"
"1884","1094","11","9","953","51","51","0"
"1885","891","7","6","759","40","54","0"
"1886","991","7","1","849","44","68","0"
"1887","986","9","3","813","46","94","0"
"1888","965","9","5","815","42","70","0"
"1889","859","19","0","735","37","45","0"
"1890","783","8","6","661","44","35","0"
"1891","820","5","3","666","51","71","0"
"1892","1011","3","6","827","89","57","0"
"1893","1000","14","5","765","91","77","0"
"1894","870","17","3","722","58","59","0"
"1895","843","25","2","669","69","53","2"
"1896","830","16","9","647","65","82","0"
"1897","699","11","2","538","49","85","0"
"1898","800","29","9","633","47","88","0"
"1899","717","24","8","570","38","86","0"
"1900","667","2","6","568","40","29","0"
"1901","824","14","6","702","62","22","0"
"1902","834","9","9","662","60","42","0"
"1903","861","7","7","728","63","29","0"
"1904","808","5","8","666","75","35","0"
"1905","764","1","10","611","67","35","0"
"1906","816","2","3","702","77","28","0"
"1907","820","1","4","708","92","18","0"
"1908","785","0","6","668","89","25","0"
"1909","832","1","9","675","107","41","0"
"1910","846","0","6","703","101","29","0"
"1911","821","0","9","670","112","44","0"
"1912","828","1","8","662","117","43","0"
"1913","313","3","0","262","47","10","0"
